月份,交易數,勝場,敗場,勝率(%),月損益點數,月損益金額,月初餘額,月報酬率(%)
2024-03,1,1,0,100.0,2369,118336,150000,78.9
2024-04,1,1,0,100.0,40,1886,268336,0.7
2024-05,1,1,0,100.0,806,40186,270222,14.9
2024-06,3,1,2,33.3,-288,-14742,310408,-4.7
2025-02,1,0,1,0.0,-175,-8864,295666,-3.0
2025-04,1,1,0,100.0,787,39236,286802,13.7
2025-06,1,1,0,100.0,2134,106586,326038,32.7
2025-08,1,1,0,100.0,1982,98986,432624,22.9
2025-09,2,1,1,50.0,1152,57372,531610,10.8
2025-11,1,1,0,100.0,759,37836,588982,6.4
2026-01,1,1,0,100.0,2633,131536,626818,21.0
2026-02,1,1,0,100.0,905,45136,758354,6.0
2026-03,1,1,0,100.0,562,27986,803490,3.5
